Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b0642,leuS,-0.52163,DOWN,336.3497616103285,319.80095762775164,GO:0009058//GO:0071704//GO:0044238//GO:1901360//GO:0044267//GO:0044249//GO:0043603//GO:0034641//GO:0044710//GO:0008152//GO:0034660//GO:0009059//GO:0006418//GO:0009987//GO:0034645//GO:0044763//GO:0090304//GO:0006518//GO:0044281//GO:0044271//GO:0006399//GO:0046483//GO:0044237//GO:0006520//GO:0006412//GO:0044260//GO:0043039//GO:0019538//GO:0044699//GO:0043436//GO:0006082//GO:0043170//GO:1901566//GO:0043038//GO:0043043//GO:0006725//GO:0008150//GO:1901576//GO:0043604//GO:0006807//GO:0006139//GO:0019752//GO:0010467//GO:0016070//GO:1901564,biosynthetic process//organic substance metabolic process//primary metabolic process//organic cyclic compound metabolic process//cellular protein metabolic process//cellular biosynthetic process//cellular amide metabolic process//cellular nitrogen compound metabolic process//single-organism metabolic process//metabolic process//ncRNA metabolic process//macromolecule biosynthetic process//tRNA aminoacylation for protein translation//cellular process//cellular macromolecule biosynthetic process//single-organism cellular process//nucleic acid metabolic process//peptide metabolic process//small molecule metabolic process//cellular nitrogen compound biosynthetic process//tRNA metabolic process//heterocycle metabolic process//cellular metabolic process//cellular amino acid metabolic process//translation//cellular macromolecule metabolic process//tRNA aminoacylation//protein metabolic process//single-organism process//oxoacid metabolic process//organic acid metabolic process//macromolecule metabolic process//organonitrogen compound biosynthetic process//amino acid activation//peptide biosynthetic process//cellular aromatic compound metabolic process//biological_process//organic substance biosynthetic process//amide biosynthetic process//nitrogen compound metabolic process//nucleobase-containing compound metabolic process//carboxylic acid metabolic process//gene expression//RNA metabolic process//organonitrogen compound metabolic process,--,--,GO:0000166//GO:1901363//GO:0036094//GO:0004812//GO:0017076//GO:0032553//GO:0016874//GO:0030554//GO:0016788//GO:0003674//GO:0003824//GO:0005524//GO:0052689//GO:0016875//GO:0001882//GO:0043167//GO:0002161//GO:0035639//GO:0097367//GO:0016787//GO:0005488//GO:0097159//GO:0043168//GO:0016876//GO:0032550//GO:1901265//GO:0001883//GO:0032559//GO:0032555//GO:0032549,"nucleotide binding//heterocyclic compound binding//small molecule binding//aminoacyl-tRNA ligase activity//purine nucleotide binding//ribonucleotide binding//ligase activity//adenyl nucleotide binding//hydrolase activity, acting on ester bonds//molecular_function//catalytic activity//ATP binding//carboxylic ester hydrolase activity//ligase activity, forming carbon-oxygen bonds//nucleoside binding//ion binding//aminoacyl-tRNA editing activity//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//hydrolase activity//binding//organic cyclic compound binding//anion binding//ligase activity, forming aminoacyl-tRNA and related compounds//purine ribonucleoside binding//nucleoside phosphate binding//purine nucleoside binding//adenyl ribonucleotide binding//purine ribonucleotide binding//ribonucleoside binding",K01869 leucyl-tRNA synthetase [EC:6.1.1.4] | (RefSeq) leuS; leucyl-tRNA synthetase,http://www.genome.jp/dbget-bin/www_bget?eco:b0642,leucyl-tRNA synthetase,16.548803982576885,376.0,1112.0,1488.0
b4230,ytfT,-1.1665,DOWN,30.9215371173801,45.80435527070663,GO:0051234//GO:0051179//GO:0008150//GO:0006810,establishment of localization//localization//biological_process//transport,GO:0005575//GO:0016020,cellular_component//membrane,GO:0005215//GO:0003674,transporter activity//molecular_function,K02057 simple sugar transport system permease protein | (RefSeq) ytfT; putative sugar ABC transporter permease,http://www.genome.jp/dbget-bin/www_bget?eco:b4230,putative sugar ABC transporter permease,-14.882818153326529,951.0,537.0,1488.0
b2247,rhmD,-1.3321,DOWN,13.32499747408553,21.58241146151143,--,--,--,--,--,--,K12661 L-rhamnonate dehydratase [EC:4.2.1.90] | (RefSeq) rhmD; L-rhamnonate dehydratase,http://www.genome.jp/dbget-bin/www_bget?eco:b2247,L-rhamnonate dehydratase,-8.2574139874259,1068.0,422.0,1490.0
b0173,dxr,-0.77193,DOWN,138.87962716808102,154.68722340673568,GO:0008150//GO:0055114//GO:0044699//GO:0044710//GO:0008152,biological_process//oxidation-reduction process//single-organism process//single-organism metabolic process//metabolic process,--,--,GO:1901265//GO:0005515//GO:0043168//GO:0043167//GO:0005488//GO:0097159//GO:0003674//GO:0050662//GO:0000166//GO:1901363//GO:0070402//GO:0048037//GO:0036094//GO:0050661,nucleoside phosphate binding//protein binding//anion binding//ion binding//binding//organic cyclic compound binding//molecular_function//coenzyme binding//nucleotide binding//heterocyclic compound binding//NADPH binding//cofactor binding//small molecule binding//NADP binding,K00099 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] | (RefSeq) dxr; 1-deoxy-D-xylulose 5-phosphate reductoisomerase,http://www.genome.jp/dbget-bin/www_bget?eco:b0173,1-deoxy-D-xylulose 5-phosphate reductoisomerase,-15.807596238654668,610.0,880.0,1490.0
b2034,wbbI,-0.92003,DOWN,77.1711321051619,99.94694926292529,--,--,--,--,--,--,"no KO assigned | (RefSeq) wbbI; d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",http://www.genome.jp/dbget-bin/www_bget?eco:b2034,d-Galf:alpha-d-Glc beta-1%2C6-galactofuranosyltransferase,-22.775817157763385,750.0,741.0,1491.0
b4571,--,-0.90046,DOWN,89.43420010329831,106.03472698129251,--,--,--,--,GO:0016740//GO:0003674//GO:0003824//GO:0016757,"transferase activity//molecular_function//catalytic activity//transferase activity, transferring glycosyl groups",--,--,--,-16.6005268779942,736.0,757.0,1493.0
b3992,thiF,-0.70387,DOWN,163.10132279954502,196.45179691643466,GO:0019438//GO:0034641//GO:0044249//GO:0046148//GO:1901362//GO:1901360//GO:0009058//GO:0071704//GO:0033014//GO:0044763//GO:0044711//GO:0042168//GO:0006778//GO:0044271//GO:0009987//GO:0033013//GO:0046156//GO:0008152//GO:0051186//GO:0044710//GO:0019354//GO:0006725//GO:0006779//GO:0055114//GO:1901566//GO:0042440//GO:0044699//GO:0044237//GO:0046483//GO:0018130//GO:1901564//GO:0051188//GO:0006783//GO:1901576//GO:0008150//GO:0006807,aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process//pigment biosynthetic process//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//biosynthetic process//organic substance metabolic process//tetrapyrrole biosynthetic process//single-organism cellular process//single-organism biosynthetic process//heme metabolic process//porphyrin-containing compound metabolic process//cellular nitrogen compound biosynthetic process//cellular process//tetrapyrrole metabolic process//siroheme metabolic process//metabolic process//cofactor metabolic process//single-organism metabolic process//siroheme biosynthetic process//cellular aromatic compound metabolic process//porphyrin-containing compound biosynthetic process//oxidation-reduction process//organonitrogen compound biosynthetic process//pigment metabolic process//single-organism process//cellular metabolic process//heterocycle metabolic process//heterocycle biosynthetic process//organonitrogen compound metabolic process//cofactor biosynthetic process//heme biosynthetic process//organic substance biosynthetic process//biological_process//nitrogen compound metabolic process,--,--,GO:0016874//GO:0048037//GO:0036094//GO:0016877//GO:0050662//GO:1901363//GO:0000166//GO:0016614//GO:0003824//GO:0016627//GO:0003674//GO:0016628//GO:0008677//GO:0043115//GO:0016616//GO:0008641//GO:0097159//GO:0005488//GO:0043167//GO:0071949//GO:1901265//GO:0050660//GO:0043168//GO:0016491//GO:0051287,"ligase activity//cofactor binding//small molecule binding//ligase activity, forming carbon-sulfur bonds//coenzyme binding//heterocyclic compound binding//nucleotide binding//oxidoreductase activity, acting on CH-OH group of donors//catalytic activity//oxidoreductase activity, acting on the CH-CH group of donors//molecular_function//oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor//2-dehydropantoate 2-reductase activity//precorrin-2 dehydrogenase activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//small protein activating enzyme activity//organic cyclic compound binding//binding//ion binding//FAD binding//nucleoside phosphate binding//flavin adenine dinucleotide binding//anion binding//oxidoreductase activity//NAD binding","K03148 sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73] | (RefSeq) thiF; adenylyltransferase, modifies ThiS C-terminus",http://www.genome.jp/dbget-bin/www_bget?eco:b3992,adenylyltransferase%2C modifies ThiS C-terminus,-33.35047411688964,539.0,954.0,1493.0
b4335,yjiM,-1.1246,DOWN,37.356492490913396,50.73022990045723,GO:0006139//GO:1901576//GO:0008150//GO:0006807//GO:0018130//GO:0006259//GO:0016070//GO:0006261//GO:0044260//GO:0032774//GO:0044237//GO:0046483//GO:0006725//GO:0006269//GO:0043170//GO:0008152//GO:0090304//GO:0034654//GO:0034645//GO:0044271//GO:0009987//GO:0009059//GO:1901362//GO:0006260//GO:1901360//GO:0009058//GO:0044238//GO:0071704//GO:0019438//GO:0034641//GO:0044249,"nucleobase-containing compound metabolic process//organic substance biosynthetic process//biological_process//nitrogen compound metabolic process//heterocycle biosynthetic process//DNA metabolic process//RNA metabolic process//DNA-dependent DNA replication//cellular macromolecule metabolic process//RNA biosynthetic process//cellular metabolic process//heterocycle metabolic process//cellular aromatic compound metabolic process//DNA replication, synthesis of RNA primer//macromolecule metabolic process//metabolic process//nucleic acid metabolic process//nucleobase-containing compound biosynthetic process//cellular macromolecule biosynthetic process//cellular nitrogen compound biosynthetic process//cellular process//macromolecule biosynthetic process//organic cyclic compound biosynthetic process//DNA replication//organic cyclic compound metabolic process//biosynthetic process//primary metabolic process//organic substance metabolic process//aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process",--,--,GO:0016779//GO:0003896//GO:0016740//GO:0003824//GO:0003674//GO:0034062//GO:0016772//GO:0003899,"nucleotidyltransferase activity//DNA primase activity//transferase activity//catalytic activity//molecular_function//RNA polymerase activity//transferase activity, transferring phosphorus-containing groups//DNA-directed RNA polymerase activity",no KO assigned | (RefSeq) yjiM; putative 2-hydroxyglutaryl-CoA dehydratase,http://www.genome.jp/dbget-bin/www_bget?eco:b4335,putative 2-hydroxyglutaryl-CoA dehydratase,-13.373737409543835,927.0,568.0,1495.0
b3804,hemD,-0.84089,DOWN,108.0293727659415,124.47091531704267,GO:0033014//GO:0044271//GO:0009987//GO:0033013//GO:0008152//GO:0019438//GO:0034641//GO:0044249//GO:1901362//GO:1901360//GO:0009058//GO:0071704//GO:1901564//GO:0018130//GO:0008150//GO:1901576//GO:0006807//GO:0006725//GO:1901566//GO:0046483//GO:0044237,tetrapyrrole biosynthetic process//cellular nitrogen compound biosynthetic process//cellular process//tetrapyrrole metabolic process//metabolic process//aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//biosynthetic process//organic substance metabolic process//organonitrogen compound metabolic process//heterocycle biosynthetic process//biological_process//organic substance biosynthetic process//nitrogen compound metabolic process//cellular aromatic compound metabolic process//organonitrogen compound biosynthetic process//heterocycle metabolic process//cellular metabolic process,--,--,GO:0003824//GO:0003674//GO:0016835//GO:0004852//GO:0016836//GO:0016829,catalytic activity//molecular_function//carbon-oxygen lyase activity//uroporphyrinogen-III synthase activity//hydro-lyase activity//lyase activity,K01719 uroporphyrinogen-III synthase [EC:4.2.1.75] | (RefSeq) hemD; uroporphyrinogen III synthase,http://www.genome.jp/dbget-bin/www_bget?eco:b3804,uroporphyrinogen III synthase,-16.441542551101165,683.0,814.0,1497.0
b0870,ltaE,-0.74503,DOWN,159.22687930107,169.53211986247865,GO:0044710//GO:0008152//GO:0009987//GO:0040011//GO:0044281//GO:0009605//GO:0044763//GO:0071704//GO:0044238//GO:0009058//GO:0042330//GO:0006807//GO:0008150//GO:0019752//GO:0042221//GO:1901564//GO:0006520//GO:0044237//GO:0006935//GO:0044699//GO:0043436//GO:0006082//GO:0050896,single-organism metabolic process//metabolic process//cellular process//locomotion//small molecule metabolic process//response to external stimulus//single-organism cellular process//organic substance metabolic process//primary metabolic process//biosynthetic process//taxis//nitrogen compound metabolic process//biological_process//carboxylic acid metabolic process//response to chemical//organonitrogen compound metabolic process//cellular amino acid metabolic process//cellular metabolic process//chemotaxis//single-organism process//oxoacid metabolic process//organic acid metabolic process//response to stimulus,--,--,GO:0003824//GO:0003674//GO:0016810//GO:1901363//GO:0048037//GO:0016829//GO:0043168//GO:0016811//GO:0050568//GO:0043167//GO:0030170//GO:0005488//GO:0097159//GO:0016787,"catalytic activity//molecular_function//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds//heterocyclic compound binding//cofactor binding//lyase activity//anion binding//hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides//protein-glutamine glutaminase activity//ion binding//pyridoxal phosphate binding//binding//organic cyclic compound binding//hydrolase activity","K01620 threonine aldolase [EC:4.1.2.48] | (RefSeq) ltaE; L-allo-threonine aldolase, PLP-dependent",http://www.genome.jp/dbget-bin/www_bget?eco:b0870,L-allo-threonine aldolase%2C PLP-dependent,-10.305240561408652,586.0,912.0,1498.0
